,text_id1,text_name1,word_count1,status1,similarity,text_id2,text_name2,word_count2,status2
73,d3c4b19edd,V16N021,166,remove,0.7305,e78a7214b4,R16N010,199,remove
74,69ca262e9e,V16N027,299,remove,0.7305,84f151002a,W16N020,269,remove
75,da82aa5175,H15N016,231,keep,0.7227,be7b348e17,T15N004,310,keep
76,0de45fdf82,H16N007,193,remove,0.7227,0f287371e4,T16N002,288,keep
77,7ac4ef970c,V14N007,154,remove,0.7227,f6ecafaed9,H14N009,182,remove
78,541c4b4514,V17N001,375,keep,0.7188,901828c0b2,R17N001,290,remove
79,26050e609b,O14N009,286,keep,0.7148,a3add2bd07,H14N018,214,remove
80,9f0905bb60,G13N003,433,remove,0.707,b68accfa79,S13N008,460,keep
81,fc1dfb29e0,O17N001,232,keep,0.707,b6a02c58af,H17N002,182,remove
82,8f83faa43a,C14N001,331,remove,0.7031,519a9ae45a,G14N001,433,keep
83,dbd873c881,G15N003,326,remove,0.6992,f3b2a04b74,S15N003,504,keep
84,c03994ed8b,H16N011,315,keep,0.6992,5e7ae57daf,V16N022,431,keep
85,caaab2e967,H13N008,249,keep,0.6992,45c788ec6a,D13N002,188,remove
86,ece0ee6a30,H17N014,380,remove,0.6992,688bd353fc,O17N008,267,remove
87,7183d107f8,R13N007,399,keep,0.6953,048b4a5b53,H13N014,301,remove
88,0de45fdf82,H16N007,193,remove,0.6914,dadb615d6c,V16NN019,174,remove
89,6b7b6ad4b4,H16N013,341,keep,0.6875,84f151002a,W16N020,269,remove
90,ede73c87a9,D13N008,153,remove,0.6797,432ae0b88c,V13N022,190,remove
91,be7b348e17,T15N004,310,keep,0.6797,7df6bbf464,R15N015,191,remove
92,8cb52943b3,V16N004,426,keep,0.6758,3dd03d211a,R16N003,308,remove
93,21fa212eb5,V13N016,339,remove,0.6758,154778d9b0,D13N006,424,keep
94,8872aa0bf2,O16N007,262,remove,0.6719,5e7ae57daf,V16N022,431,keep
95,899fa9d7cc,H17N010,268,remove,0.6719,d4c9a0b387,R17N006,243,remove
96,4f9fb86ed5,T13N003,424,remove,0.6719,0676271e0c,V13N015,556,keep
97,f8f47c92fe,V15N007,264,remove,0.6719,aaac41d476,H15N008,385,keep
98,425f84a508,R14N008,237,keep,0.6719,f6ecafaed9,H14N009,182,remove
99,7f9c09cf94,V14N014,258,remove,0.668,16c8c32612,H14N014,342,keep
100,8cb811caf3,V17N005,414,keep,0.668,ab9d44b2d8,H17N003,382,remove
101,f62672f751,D17N002,400,keep,0.6602,676597d21a,V17N002,269,remove
102,676597d21a,V17N002,269,remove,0.6562,b6a02c58af,H17N002,182,remove
103,87eb938e35,V16N010,465,remove,0.6562,bb0ca627cd,R16N006,383,remove
104,0a9707c869,D16N011,287,remove,0.6562,c1c0e6aad4,R16N012,372,remove
105,f7c4531c31,T16N003,339,keep,0.6484,e78a7214b4,R16N010,199,remove
106,355821c021,D16N009,204,keep,0.6484,0f287371e4,T16N002,288,keep
107,3c2670a27c,H16N010,214,keep,0.6484,d3c4b19edd,V16N021,166,remove
108,371f819667,V17N014,487,keep,0.6406,ece0ee6a30,H17N014,380,remove
109,432ae0b88c,V13N022,190,remove,0.6406,10a6e411a8,H13N017,324,keep
110,2970ebebf5,D16N005,409,remove,0.6367,bb0ca627cd,R16N006,383,remove
111,7a6442c0a5,H15N012,310,remove,0.6367,8e3a0ecc7e,V15N015,521,keep
